1.857477	?	?	?	?	?	
1.748777	?	?	?	?	?	
1.870576	2.685222	?	?	?	?	
1.830630	2.562796	?	?	?	?	
1.957416	2.460843	3.398902	?	?	?	
1.943866	2.710083	3.290758	?	?	?	
1.952502	2.644234	3.116510	?	?	?	
1.936146	2.621037	3.037229	?	?	?	
2.061173	2.900282	3.450104	?	?	?	
2.052331	2.845319	3.420513	3.660862	?	?	
2.044944	2.805466	3.371460	3.533151	?	?	
2.054459	2.847917	3.341594	4.113733	?	?	
2.213907	2.850858	3.718734	4.077644	?	?	
2.190630	2.832344	3.681316	3.994443	?	?	
2.232633	3.020154	3.638602	4.011093	?	?	
2.200250	2.998871	3.592753	3.917162	?	?	
2.355794	3.031111	3.694904	4.524440	4.586115	?	
2.358765	3.040312	3.674972	4.459148	4.530549	?	
2.353390	3.010480	3.667261	4.405570	4.482448	?	
2.342495	3.007865	3.645990	4.327981	4.465900	?	
2.546125	3.242787	3.928115	4.379454	5.187211	?	
2.523332	3.268469	3.904929	4.435100	5.122657	?	
2.502044	3.232661	3.884945	4.433416	5.038455	?	
2.531612	3.246977	3.887077	4.411149	5.037480	4.962156	
2.616654	3.292990	3.918442	4.436747	5.039977	5.760654	
2.590643	3.262920	3.900931	4.421914	5.027964	5.754369	
2.661522	3.421184	3.933232	4.697900	5.136573	5.785724	
2.642512	3.418528	3.936078	4.712024	5.082113	5.649913	
2.759606	3.400792	4.182553	4.669456	5.118795	5.613318	
2.736583	3.400858	4.168249	4.654550	5.068491	5.641621	
2.700855	3.457135	4.174907	4.659196	5.114735	5.593756	
2.800742	3.450593	4.141763	4.734114	5.151358	5.713422	
2.828224	3.569890	4.221921	4.756438	5.399728	5.754198	
2.845822	3.618524	4.214012	4.765769	5.370601	5.680756	
2.807042	3.579241	4.247466	4.701620	5.392106	5.690805	
2.782546	3.599632	4.251760	4.720873	5.349429	5.718052	
2.909612	3.581960	4.348394	5.062668	5.385516	5.767930	
2.864442	3.608875	4.333585	4.956978	5.327701	5.789492	
2.895443	3.707944	4.379675	5.007984	5.496994	6.018688	
2.932592	3.691748	4.363640	4.988697	5.461058	6.015569	
2.896930	3.703224	4.370153	5.000476	5.456889	5.979446	
2.833460	3.769876	4.360568	5.071306	5.542649	6.013782	
2.742003	3.722741	4.360531	5.052442	5.469440	5.943191	
2.765077	3.723976	4.392010	4.970228	5.410513	5.973202	
2.759145	3.842139	4.601361	5.094462	5.682259	6.101581	
3.019967	3.865896	4.594825	5.111476	5.734990	6.093745	
