1.828631	?	?	
1.719284	?	?	
1.867271	?	?	
1.834537	?	?	
1.977478	?	?	
1.975473	2.575514	?	
1.996260	2.556203	?	
1.984132	2.507890	?	
2.092299	2.882726	?	
2.089036	2.842370	?	
2.104442	2.799131	?	
2.100524	2.837792	?	
2.232805	2.881228	?	
2.208569	2.883848	?	
2.243435	3.107443	?	
2.240199	3.076087	?	
2.340155	3.125505	3.482760	
2.322999	3.206702	3.426412	
2.367040	3.134882	3.368184	
2.374028	3.112041	3.434948	
2.435195	3.447864	3.719311	
2.487429	3.449345	3.713512	
2.541854	3.411617	3.663836	
2.479779	3.461177	3.736738	
2.550638	3.495859	3.755446	
2.542049	3.465075	3.797293	
2.537864	3.616700	3.971372	
2.649558	3.684582	3.864623	
2.554479	3.715193	4.101911	
2.708173	3.756040	4.036048	
2.582063	3.798650	4.058204	
2.762345	3.816853	4.216651	
2.707783	3.992208	4.192623	
2.618523	3.973178	4.185891	
2.729109	3.948292	4.070160	
2.721251	4.061150	4.310618	
2.694170	4.275611	4.330097	
2.726941	4.031388	4.445121	
2.707188	4.070712	4.442461	
2.786983	4.091260	4.434616	
2.796878	4.104864	4.535094	
2.784743	4.242142	4.529305	
2.806023	4.357588	4.589572	
2.904388	4.379087	4.366992	
2.816220	4.349792	4.686898	
2.771251	4.468404	4.564745	
