1.841518	?	?	?	?	?	
1.774170	?	?	?	?	?	
1.897649	2.614725	?	?	?	?	
1.877772	2.425771	?	?	?	?	
1.998683	2.422230	?	?	?	?	
1.982561	2.749760	?	?	?	?	
1.993862	2.691096	?	?	?	?	
1.990440	2.672210	?	?	?	?	
2.087303	2.963688	3.342963	?	?	?	
2.090560	2.939046	3.337303	?	?	?	
2.088027	2.906876	3.326835	?	?	?	
2.097338	2.955656	3.248703	3.732267	?	?	
2.197360	2.940949	3.795278	3.734494	?	?	
2.204757	2.916011	3.758049	3.591815	?	?	
2.210809	3.164437	3.741027	3.649774	?	?	
2.223847	3.126348	3.691325	3.564693	?	?	
2.281778	3.099756	3.832532	4.383463	?	?	
2.292123	3.185559	3.835347	4.347432	?	?	
2.306063	3.145220	3.812981	4.286467	?	?	
2.301323	3.132011	3.819522	4.283983	?	?	
2.410847	3.373813	4.103949	4.484412	?	?	
2.372685	3.398033	4.143482	4.569444	?	?	
2.375355	3.394667	4.121576	4.432485	?	?	
2.363164	3.414367	4.092153	4.471830	?	?	
2.405848	3.390569	4.180732	4.402702	?	?	
2.379815	3.388699	4.142631	4.438920	4.310099	?	
2.432266	3.484537	4.213370	4.918796	4.760615	?	
2.431791	3.478545	4.134892	4.832520	4.723553	?	
2.420044	3.501607	4.452457	4.904888	4.803731	?	
2.460642	3.603646	4.390808	4.935539	4.629037	?	
2.473766	3.581207	4.448336	4.812151	4.695564	?	
2.468818	3.512563	4.459196	4.991865	4.627329	?	
2.580509	3.753235	4.519554	4.946363	5.084509	?	
2.592014	3.680491	4.566541	5.073268	5.113731	?	
2.536851	3.711508	4.618313	5.143704	5.069374	?	
2.530981	3.680708	4.601637	5.035269	5.086685	?	
2.592036	3.704845	4.584662	5.198941	4.875202	?	
2.530580	3.712423	4.597390	5.270528	4.981627	?	
2.471516	3.839386	4.767721	5.379466	5.215777	?	
2.615148	3.714808	4.577060	5.254457	4.993442	?	
2.588495	3.757405	4.831103	5.375665	5.073424	?	
2.608459	3.763378	4.754073	5.333810	5.197372	?	
2.554634	3.781010	4.833465	5.344155	5.204681	?	
2.566585	3.816318	4.764409	5.371521	5.235746	?	
2.565323	4.098975	4.944685	5.501174	5.123677	?	
2.501097	4.067451	5.006930	5.629985	5.457880	4.320151	
