1.854619	?	?	?	
1.725597	?	?	?	
1.891155	?	?	?	
1.868660	?	?	?	
1.985794	?	?	?	
1.988821	2.673266	?	?	
1.996706	2.600282	?	?	
1.983258	2.637300	?	?	
2.085961	2.917164	3.306265	?	
2.089607	2.912606	3.220887	?	
2.094903	2.879702	3.124786	?	
2.100387	2.944414	3.134301	?	
2.195307	2.951013	3.721070	?	
2.201570	2.938093	3.684437	?	
2.251053	3.143009	3.585622	?	
2.198127	3.106909	3.577274	?	
2.274538	3.139315	3.767011	?	
2.300322	3.159726	3.760465	?	
2.321787	3.152043	3.652501	?	
2.313376	3.161497	3.689561	?	
2.393881	3.403284	4.096479	3.266285	
2.395854	3.364531	4.079022	4.258759	
2.411918	3.420062	4.057540	4.067436	
2.422493	3.466977	4.060379	4.166168	
2.432575	3.389008	4.120870	4.011002	
2.465830	3.480176	4.082165	4.205629	
2.465270	3.612366	4.182925	4.607851	
2.451642	3.640564	4.151282	4.384205	
2.493943	3.690341	4.346099	4.442051	
2.460241	3.726962	4.548483	4.336310	
2.545877	3.693528	4.396312	4.465244	
2.485625	3.724055	4.462103	4.464105	
2.471352	3.983019	4.662833	4.701555	
2.515269	3.799467	4.609345	4.901424	
2.618347	3.885492	4.668829	4.714295	
2.607715	4.042114	4.594804	4.758954	
2.595802	4.150465	4.931578	4.901327	
2.596739	3.979572	4.918945	5.023783	
2.653747	3.965391	4.909370	4.727556	
2.665605	3.956517	4.795878	4.894602	
2.639615	4.011101	4.911101	5.013198	
2.638842	4.201141	5.011057	4.895210	
2.607406	4.115655	4.793076	5.090870	
2.598433	4.048989	4.971518	5.018334	
2.689395	4.097411	5.198610	5.183373	
2.639912	4.365918	5.034766	5.167442	
