1.839125	?	?	?	
1.738311	?	?	?	
1.884326	?	?	?	
1.859219	?	?	?	
1.987375	?	?	?	
1.977971	2.680279	?	?	
1.993218	2.611066	?	?	
1.984740	2.510822	?	?	
2.083061	2.909173	?	?	
2.080964	2.823659	?	?	
2.113394	2.787880	?	?	
2.091367	2.919801	?	?	
2.209321	2.919819	3.550487	?	
2.201841	2.896300	3.468157	?	
2.244585	3.096997	3.428160	?	
2.230532	3.100759	3.441714	?	
2.329805	3.143989	3.659259	?	
2.363167	3.148799	3.577127	?	
2.343029	3.143509	3.484046	?	
2.305682	3.167455	3.570597	?	
2.437988	3.522585	4.001998	?	
2.455453	3.513054	3.985830	?	
2.464050	3.470593	3.949903	?	
2.446247	3.472153	3.930772	?	
2.483165	3.516548	4.007943	?	
2.504855	3.518013	4.115065	?	
2.465846	3.706186	4.123754	?	
2.521636	3.644342	4.204611	?	
2.512015	3.792324	4.341829	?	
2.553071	3.848269	4.291820	?	
2.603772	3.986529	4.394008	?	
2.507577	4.005559	4.237095	?	
2.593898	3.983582	4.543504	?	
2.643542	4.029795	4.602390	?	
2.577505	3.823169	4.543920	?	
2.652493	3.957157	4.493578	?	
2.604507	4.072637	4.717956	?	
2.698778	4.235826	4.624997	?	
2.695779	3.930104	4.738380	4.370151	
2.707867	4.239424	4.648491	4.639148	
2.725721	4.107713	4.841239	4.408358	
2.653366	4.177057	4.789776	4.442518	
2.677725	4.110038	4.832280	4.185572	
2.737875	4.310908	4.735508	4.385154	
2.758668	4.666192	5.047833	4.507492	
2.669888	4.204311	4.997479	4.557413	
