1.850628	?	?	
1.815162	?	?	
1.971760	?	?	
1.959165	?	?	
1.983136	?	?	
1.976074	?	?	
2.084734	2.818685	?	
2.085858	2.779812	?	
2.096338	2.721795	?	
2.090964	2.871990	?	
2.239116	2.858823	?	
2.220256	2.839114	?	
2.218144	3.078237	?	
2.263691	3.050174	?	
2.376087	3.108052	?	
2.330942	3.132368	?	
2.334665	3.085398	?	
2.367611	3.072544	?	
2.442571	3.390542	?	
2.466567	3.438508	?	
2.540893	3.348554	?	
2.575209	3.502802	?	
2.565316	3.433079	?	
2.595210	3.475344	3.658113	
2.634332	3.552102	3.360868	
2.592764	3.536090	3.850654	
2.657080	3.715178	3.868405	
2.703176	3.758601	3.878076	
2.780102	3.752715	3.942054	
2.650979	3.672815	3.892047	
2.745385	3.950419	3.967677	
2.807742	4.050623	4.013167	
2.714847	4.002680	3.812083	
2.740312	3.926665	3.779914	
2.811911	4.177252	4.097635	
2.907910	4.078541	3.733121	
2.904706	4.129220	4.145051	
2.923955	4.114170	4.463586	
2.882819	4.133454	4.108023	
2.930481	4.125773	4.407025	
2.960152	4.213892	4.109788	
2.892051	4.122795	4.132817	
3.040245	4.052279	4.431134	
3.028656	4.135423	4.389629	
3.114223	4.155220	4.533803	
3.075026	4.190937	4.393622	
