1.871441	?	
1.797950	?	
1.954384	?	
1.946066	?	
1.971196	?	
1.973347	?	
2.086264	2.818181	
2.061838	2.696544	
2.111810	2.641036	
2.096990	2.794181	
2.211514	2.747970	
2.238170	2.773077	
2.272921	2.981525	
2.290208	2.953669	
2.367883	3.075063	
2.387154	3.084350	
2.433927	3.023517	
2.360089	3.040900	
2.576251	3.251929	
2.548312	3.386318	
2.594777	3.357226	
2.553391	3.342021	
2.667764	3.429356	
2.757849	3.468640	
2.613227	3.581312	
2.694421	3.579847	
2.917146	3.609596	
2.780650	3.810999	
2.698913	3.584001	
2.796654	3.725524	
2.826100	3.737864	
2.937076	3.854983	
2.843106	3.763299	
2.815802	3.826464	
2.948985	4.102628	
2.780757	3.800404	
2.953335	3.905653	
3.099082	3.936987	
2.945204	4.159798	
2.976608	4.155403	
3.133294	4.082472	
2.936171	4.156643	
3.092589	4.163830	
3.016073	4.095102	
3.138873	4.173980	
3.104345	4.184361	
