16	0.161221
17	0.165118
18	0.164454
19	0.156228
20	0.159978
21	0.222878
22	0.212505
23	0.215203
24	0.204425
25	0.205818
26	0.233722
27	0.230784
28	0.225394
29	0.225076
30	0.223097
31	0.240468
32	0.239625
33	0.234829
34	0.234550
35	0.233244
36	0.242828
37	0.244111
38	0.242848
39	0.240979
40	0.232845
41	0.251519
42	0.241100
43	0.239886
44	0.240677
45	0.237141
46	0.243661
47	0.236554
48	0.242570
49	0.237064
50	0.238934
51	0.243552
52	0.239117
53	0.234148
54	0.235861
55	0.240807
56	0.236796
57	0.235973
58	0.232069
59	0.237873
60	0.229069
61	0.235476
62	0.236789
63	0.234542
64	0.230712
65	0.231358
66	0.234061
67	0.236028
68	0.227897
69	0.229373
70	0.223205
71	0.232898
72	0.227036
73	0.230332
74	0.226869
75	0.223741
76	0.220776
77	0.227212
78	0.230533
79	0.223826
80	0.206382
81	0.228807
82	0.216157
83	0.219473
84	0.220350
85	0.211051
86	0.218845
87	0.215574
88	0.214003
89	0.214999
90	0.216813
91	0.216604
92	0.225225
93	0.208811
94	0.204723
95	0.214310
96	0.207940
97	0.209985
98	0.211402
99	0.220478
100	0.211848
